Image,Mu,Sigma,Score,Score_10
104105683403.jpg,33.08545019486809,2.969168790883605,3.7951807228915664,7.056816601942412
104108930083.jpg,32.98267286610033,2.9821327866660403,3.785140562248996,7.030804264734515
104108894082.jpg,32.9728287904389,3.310274582070077,3.7751004016064256,7.028312787103455
104106715634.jpg,32.95280260874689,3.0494714643144336,3.7650602409638556,7.023244278343743
104108438364.jpg,32.93237779674654,3.0518814200236912,3.755020080321285,7.018074878598381
104108331521.jpg,32.92383761732242,2.9282755655985917,3.744979919678715,7.015913409433345
104108791651.jpg,32.765509017701326,3.5710755162210908,3.7349397590361444,6.975841372415296
104108967028.jpg,32.758630149148125,3.861006668691701,3.7248995983935744,6.974100371257161
104107552461.jpg,32.60383187851388,3.3865459878638964,3.714859437751004,6.934921839734551
104108538409.jpg,32.584911253226544,2.4843738792613608,3.7048192771084336,6.930133140796184
104108926443.jpg,32.54175828283893,3.349611763213075,3.6947791164658637,6.919211377886957
104106936543.jpg,32.445020477888086,2.7905725380447453,3.6847389558232932,6.894727608622832
104106881654.jpg,32.352141207334654,2.387080422109159,3.674698795180723,6.871220411712522
104108799268.jpg,32.2503855497317,2.7855213883656034,3.6646586345381524,6.845466653465309
104108537471.jpg,32.22453220777344,2.56396937882966,3.6546184738955825,6.838923324727033
104108597661.jpg,32.143839272687664,2.371061915388911,3.644578313253012,6.818500417623763
104109014683.jpg,32.12742097918972,3.0869434881953093,3.6345381526104417,6.81434504413851
104108745014.jpg,32.11669254786875,2.4423723730416875,3.6244979919678717,6.811629741293235
104108845850.jpg,32.09941825515701,2.8823164933070786,3.6144578313253013,6.807257719443348
104108732600.jpg,32.065130074437455,2.9609106861817565,3.604417670682731,6.798579582642013
104108945282.jpg,32.026492664487435,1.9695141951279034,3.5943775100401605,6.78880068151168
104108849407.jpg,32.01725198738981,3.238914774391082,3.5843373493975905,6.786461920506946
104107858772.jpg,31.9469521321421,2.5199572731211206,3.57429718875502,6.768669440761712
104108857740.jpg,31.74377817163909,3.043174522985062,3.5642570281124497,6.7172473067577165
104109039511.jpg,31.734908118415955,3.0924974490257866,3.5542168674698793,6.7150023484750045
104108576174.jpg,31.632750436695893,2.880492845486158,3.5441767068273093,6.68914684028911
104108125521.jpg,31.52462160239749,2.9688638194335932,3.534136546184739,6.6617800685176585
104108945746.jpg,31.44735668650948,2.6544716352101494,3.5240963855421685,6.642224772904165
104108508211.jpg,31.3655557360791,2.6722916060813504,3.5140562248995986,6.621521433636322
104106813033.jpg,31.332266627574302,2.9442499977106733,3.504016064257028,6.613096156134375
104107671918.jpg,31.20843707281821,2.928305603992318,3.4939759036144578,6.581755624392229
104108788617.jpg,31.006004670661543,3.413210623939644,3.4839357429718874,6.530521174442645
104108516063.jpg,30.806785049100654,3.0375074317367767,3.4738955823293174,6.480099860359056
104108769212.jpg,30.79905234567832,3.1675878778455497,3.463855421686747,6.478142758619188
104108598402.jpg,30.750092643968625,2.484771636527809,3.4538152610441766,6.465751346176971
104108958485.jpg,30.74246673943216,3.622968461096376,3.4437751004016066,6.463821274606752
104108800692.jpg,30.735992105474914,3.1751026199101258,3.433734939759036,6.462182582846488
104108613968.jpg,30.721530102231643,2.580280556882307,3.423694779116466,6.458522334914615
104108926551.jpg,30.67861682353982,2.5761477142796996,3.4136546184738954,6.447661236563338
104108627229.jpg,30.645139613410485,2.4231019556930415,3.4036144578313254,6.439188351646942
104108888653.jpg,30.296901715832828,4.415868828985192,3.393574297188755,6.351051388671109
104106690875.jpg,30.201044409203625,2.9304903379450136,3.3835341365461846,6.3267904683516685
104107238512.jpg,30.137731721485274,3.4992076919841812,3.3734939759036147,6.310766399598243
104108917829.jpg,29.92154663043429,2.936207833250375,3.3634538152610443,6.256051225005164
104108299949.jpg,29.864779433832112,2.7377905360775183,3.353413654618474,6.24168378154203
104108957038.jpg,29.79558138970875,2.4003313061460103,3.3433734939759034,6.224170163709726
104109028923.jpg,29.778016207301256,2.797685819850792,3.3333333333333335,6.219724519389327
104108952273.jpg,29.740359512523693,2.035891292501878,3.323293172690763,6.210193831498983
104109005490.jpg,29.658657428751535,3.009066422272543,3.3132530120481927,6.189515514800642
104108379716.jpg,29.588945728952176,2.993001174304453,3.3032128514056227,6.1718718937389
104108888986.jpg,29.573909592185,2.517113722904047,3.2931726907630523,6.168066335990112
104109029831.jpg,29.56766392549767,2.760373542321887,3.283132530120482,6.166485594498707
104108630890.jpg,29.45179964418012,2.271569906186368,3.2730923694779115,6.137161026599174
104108746964.jpg,29.33482076546971,3.1647869802360904,3.2630522088353415,6.1075543606573826
104108601667.jpg,29.31675451153334,2.2913112263273203,3.253012048192771,6.102981898081143
104108790045.jpg,29.255015375768245,3.7034320115441823,3.2429718875502007,6.087356086068898
104108994336.jpg,29.126573894600995,2.5040279285610922,3.2329317269076303,6.0548483028869295
104107795179.jpg,29.125894733202493,3.040588761489717,3.2228915662650603,6.0546764111329
104107796270.jpg,28.935439827679527,3.2164483269788753,3.21285140562249,6.006473395110209
104108648056.jpg,28.81145320272198,2.375983419009281,3.2028112449799195,5.975093109824216
104108295496.jpg,28.80688960490561,2.9361458057522345,3.1927710843373496,5.973938090067389
104108568354.jpg,28.802626432337387,2.1223505677111603,3.182730923694779,5.972859106173278
104108783945.jpg,28.790994715538137,3.1956095870890877,3.1726907630522088,5.969915187088044
104106746366.jpg,28.70384813131943,2.6628171855326186,3.1626506024096384,5.947858899360079
104107524436.jpg,28.696802209770528,3.120437632532675,3.1526104417670684,5.9460756180716094
104108439840.jpg,28.669238898570892,2.322885917470188,3.142570281124498,5.939099506179158
104108606686.jpg,28.494300549613733,4.304925633317656,3.1325301204819276,5.894823639329681
104108982584.jpg,28.428475773183905,3.0129417959544096,3.1224899598393576,5.878163775703568
104108839146.jpg,28.41048099770163,2.962029732899256,3.112449799196787,5.873609403903507
104107184967.jpg,28.397967307587706,2.48552582711497,3.102409638554217,5.87044226256153
104108839187.jpg,28.394576686028504,3.4997372205389845,3.0923694779116464,5.869584116194039
104108231125.jpg,28.394413593778527,3.109561183878911,3.0823293172690764,5.869542838505144
104108810212.jpg,28.353004517633998,2.4874011961045714,3.072289156626506,5.8590624449684245
104109057282.jpg,28.273005205679524,2.494738124452027,3.0622489959839356,5.83881508979867
104108097533.jpg,28.208272542871455,4.0187241050818505,3.0522088353413657,5.822431633704637
104107110878.jpg,28.204325957925718,2.1298708019100543,3.0421686746987953,5.8214327762750955
104108509599.jpg,28.18136287708797,2.3449373485750735,3.032128514056225,5.815620955621209
104108757423.jpg,28.11748399041892,2.698726734283356,3.0220883534136544,5.799453585244663
104108342587.jpg,28.107113954818296,2.573645823790249,3.0120481927710845,5.796828990247542
104108981612.jpg,28.038719281561864,3.0950970836124174,3.002008032128514,5.779518700854924
104108467765.jpg,27.876414851945633,3.51919176137273,2.9919678714859437,5.738440404657396
104108323626.jpg,27.865004889110647,2.6758598108484413,2.9819277108433737,5.735552610195799
104108626167.jpg,27.85876287412319,2.7060665727619746,2.9718875502008033,5.733972792928147
104107096406.jpg,27.76986421655777,2.494539602126635,2.961847389558233,5.711473065744672
104108683768.jpg,27.45824959668048,3.0398424143681195,2.9518072289156625,5.632605238877183
104107340288.jpg,27.415591501786608,2.3728852395855564,2.9417670682730925,5.621808726043762
104108566263.jpg,27.284449105979277,2.218091422498409,2.931726907630522,5.588617357257557
104108964030.jpg,27.156400337500596,2.5411270129295143,2.9216867469879517,5.556208967346491
