Image,Mu,Sigma,Score,Score_10
104108583839.jpg,33.71881631825503,3.3666998094359153,3.785140562248996,7.254798174003293
104107512304.jpg,33.60094731564173,4.110195414893951,3.7751004016064256,7.225288926341001
104108658172.jpg,33.50344254000533,2.8324125519926295,3.7650602409638556,7.200877991245956
104108298920.jpg,33.444804085138465,2.5978976415948973,3.755020080321285,7.186197484506812
104107722079.jpg,33.435201536600964,3.013636511322074,3.744979919678715,7.183793425961311
104108105366.jpg,33.36313990662263,3.0975413098588693,3.7349397590361444,7.165752342734741
104108560046.jpg,33.315397858299505,3.1309875622567507,3.7248995983935744,7.153799820047379
104108827215.jpg,33.24325616823246,2.7363388418246353,3.714859437751004,7.135738693273031
104108726540.jpg,33.092074731110195,3.6046110353033134,3.7048192771084336,7.097889467683003
104109008763.jpg,32.916689993671596,2.5939215244863196,3.6947791164658637,7.053980793319808
104108443832.jpg,32.71186055458606,3.251268696297158,3.6847389558232932,7.002700452326902
104108556974.jpg,32.70175803559005,3.6795075981859675,3.674698795180723,7.000171223026098
104109027205.jpg,32.60584927345219,2.6689970111971393,3.6646586345381524,6.976159859969134
104108804256.jpg,32.530009891218626,2.784412331332706,3.6546184738955825,6.957172992656548
104108593196.jpg,32.45249283069254,2.8395980176138758,3.644578313253012,6.937766108010023
104107503214.jpg,32.33098824912791,2.4201149322755215,3.6345381526104417,6.907346670244379
104108757604.jpg,32.29394807673788,2.6582896486668277,3.6244979919678717,6.898073429644408
104107057634.jpg,32.25581625181053,2.783147677487688,3.6144578313253013,6.888526886951687
104107526523.jpg,32.22867752462647,2.5039368501526127,3.604417670682731,6.88173253556194
104107258151.jpg,32.22585448535074,3.8141343700967827,3.5943775100401605,6.8810257698873265
104108920555.jpg,32.218523541110045,2.7479077375335508,3.5843373493975905,6.879190421794098
104108785710.jpg,32.039969557136466,3.46773442058062,3.57429718875502,6.834488306586999
104109086516.jpg,32.03962650329382,2.7709451900935256,3.5642570281124497,6.834402420895429
104108981612.jpg,32.031053145456426,3.7946418626669702,3.5542168674698793,6.832256026728075
104108964392.jpg,31.992517778921194,2.360644637517556,3.5441767068273093,6.8226084548505375
104108985619.jpg,31.94686720719353,2.9454306980831224,3.534136546184739,6.8111795465101785
104108931680.jpg,31.760113628836528,3.1370194155040374,3.5240963855421685,6.764424611172036
104108553448.jpg,31.72783723688894,2.5869097483638464,3.5140562248995986,6.7563440130291
104108968431.jpg,31.517199931158988,3.138619351684612,3.504016064257028,6.703609636018244
104108603862.jpg,31.375749305134775,2.595024556111237,3.4939759036144578,6.668196580314114
104108611766.jpg,31.36038331333883,2.50990793041885,3.4839357429718874,6.664349607425314
104108683768.jpg,31.305860777263746,2.9046289895791597,3.4738955823293174,6.6506995468958765
104108646106.jpg,31.110573925231133,3.781091908661537,3.463855421686747,6.601808252712907
104108281868.jpg,31.082470377642494,3.310376831471007,3.4538152610441766,6.594772352454185
104108930083.jpg,31.017706893337348,2.1965770559127518,3.4437751004016066,6.5785584059927595
104108219831.jpg,31.006567950305318,2.953822659470924,3.433734939759036,6.5757697014025736
104109103352.jpg,30.950678926336895,3.3590705087948947,3.423694779116466,6.5617775320168805
