ID,Hexagon_ID,Complex_ID,Extensive,Monotonous,Oppressive,Prefer,Quiet,Vivid,Floor,Lon,Lat,LCZ_Catego,LC_Water,LC_Trees,LC_Crops,LC_Built_Area,LC_Bare_Ground,LC_Rangeland,WV_Sky,WV_Highrisebuilding,WV_Lowrisebuilding,WV_Grass,WV_Hardground,WV_Tree,WV_Water,WV_Railing,WV_Road,WV_Barrenland,WV_Buildinginterior,BD,FAR,BH,BH_SD,NDBI,NDVI
104112038099,190,190-1,2.757011651992798,2.5928521156311035,2.3457651138305664,3.2140049934387207,0.8072813749313354,1.1893190145492554,3.0,114.223390338,30.4935003344,4,0.00395105786388,0.0,0.0,0.984450675503441,0.0,0.011598266632679,0.27676664,0.221505682,0.004951299,0.001948052,0.021622565,0.019062906,0.006187094,0.147946023,0.000371347,0.005023539,0.294614854,0.078410741,0.22416333337,6.03223770827,3.12743297766,-0.07788396781,0.34142755429
104113254290,152,152-1,4.200329780578613,1.970142602920532,0.3568489253520965,4.662527561187744,2.377669095993042,2.860994815826416,3.0,114.231273099,30.5307461205,14,0.018230494645589,0.0,0.0,0.94518103008669,0.0,0.036588475267721,0.275034903,0.021772727,0.006028409,0.048358766,0.017107143,0.057002841,0.012838474,0.118270292,0.019151786,4.83e-05,0.424385958,0.078610094,0.77320137499,17.2253521564,11.0377904242,-0.09200506798,0.36981771038
104113026821,227,227-1,2.6948513984680176,2.703598499298096,2.6399636268615723,3.7609360218048096,1.7975797653198242,2.550069570541382,3.0,114.293419091,30.4380731380999,14,0.0,0.028429372768995,0.0,0.881055583885773,0.0,0.090515043345232,0.274784497,0.052280032,0.059149351,8.93e-05,0.007261364,0.042534497,0.0,0.096774756,0.000183847,0.000125812,0.466814529,0.027515858,0.09789852321,4.19328460211,1.23228413051,-0.10830020571,0.37394625032
104110518556,138,138-9,4.305796146392822,2.495327949523926,1.0935794115066528,4.656503200531006,0.7483632564544678,1.61185884475708,3.0,114.264704836999,30.5375579469,4,0.104243659997451,0.005352363960749,0.0,0.890403976041799,0.0,0.0,0.274266234,0.126333198,0.005242695,0.001885552,0.020212256,0.031637175,0.010471185,0.060770698,0.001512581,0.030688312,0.435793831,0.131615191,0.80764804173,13.6297927887,5.86148970774,-0.12924230358,0.22156638508
104107356234,116,116-7,3.725623846054077,1.362278938293457,1.0928560495376587,4.464859008789063,1.872244358062744,1.6937370300292969,3.0,114.216517443,30.5705803753999,5,0.020907700152983,0.005481896991331,0.0,0.973610402855686,0.0,0.0,0.274010958,0.067829545,0.046618912,0.011655438,0.008847403,0.066097808,0.008517451,0.041117695,0.011696834,0.001127435,0.462473214,0.151276577,0.95597583925,15.1120376446,5.42471159845,-0.11753977401,0.37974747479
104106226231,250,250-2,3.865546464920044,3.2715320587158203,1.5520838499069214,4.277335166931152,1.399886965751648,2.021456003189087,3.0,114.354222276,30.3721504801999,4,0.000510790448219,0.0,0.197165113012387,0.802324096539395,0.0,0.0,0.273325487,0.102061282,6.57e-05,0.000179383,0.000778815,0.019707386,0.0,0.08742776,0.0,1.62e-06,0.516452516,0.057730057,0.27778148144,8.09976219236,2.70904748052,-0.14395601269,0.50121266357
104113159001,120,120-8,3.5959973335266118,3.355524063110352,1.8933684825897217,3.663541555404663,2.053656101226806,1.7204811573028564,3.0,114.343614701999,30.5618589219999,4,0.0,0.0,0.0,1.0,0.0,0.0,0.272925731,0.124752029,0.003784497,0.002018669,0.003020698,0.01561039,0.0,0.053710227,0.0,0.000146104,0.524031656,0.198351595,1.3106118595,17.8738863708,7.68934606828,-0.06813944107,0.32817495242
104105850014,178,178-2,3.259399652481079,2.19714903831482,2.4554688930511475,3.119107961654663,1.2946271896362305,1.3647221326828003,3.0,114.142104802999,30.4996807371,14,0.045315292315548,0.0,0.0,0.954684707684452,0.0,0.0,0.272578328,0.144474838,0.010255276,0.009716315,0.014594156,0.031076705,0.0,0.071394886,0.00740625,0.0,0.438503247,0.166622654,0.70519065012,11.1584528615,4.192225855,-0.14372263284,0.45204785023
104113307438,27,27-4,3.772986888885498,2.212075471878052,1.7852222919464111,4.097104549407959,1.4893243312835691,1.753574013710022,3.0,114.564794814999,30.6979079486999,5,0.144277338771348,0.041040020392557,0.0,0.779505480499618,0.0,0.035177160336477,0.271125,0.12451461,0.013356737,0.0,0.008096591,0.014896916,0.006489042,0.140523945,0.00073539,4.34e-05,0.420218344,0.059316446,0.33427026112,7.9605038929,3.32185382413,-0.16964931653,0.38861646101
104109594865,123,123-2,3.5833065509796143,1.5063824653625488,1.549472093582153,3.704009294509888,0.6648515462875366,1.794418215751648,2.0,114.048722009,30.5679179283,5,0.0,0.0,0.0,1.0,0.0,0.0,0.270905844,0.089812094,0.045319399,0.003334821,0.072653815,0.076433847,0.0,0.084471997,0.000366883,0.000686282,0.355999594,0.163982219,0.7928991842,9.45135927193,3.53514432155,-0.11175043662,0.45485208899
